"data_main2.TV_Contrib","pred","data_main2.date","daypart_A_model","daypart_B_model","daypart_C_model","daypart_D_model"
2540,5695.70056843049,"8/31/2015",146.461897107205,7171.8672439232,812.72999656669,-2435.3585691666
1280,5240.49233748491,"9/7/2015",13.117936974934,7238.86133017733,1026.89320958987,-3038.38013925722
972,12554.8527615523,"9/14/2015",7689.05422667811,7292.72110278057,1256.77370705438,-3683.69627496074
13000,15251.1598219948,"9/21/2015",16141.7335594178,7343.94798436644,1496.33675020856,-9730.85847199803
19000,16742.9972685109,"9/28/2015",16147.6028688223,7379.80680147655,3362.98155818881,-10147.3939599768
22000,16528.494960224,"10/5/2015",16146.8243378215,7404.90797345362,3501.26221394073,-10524.4995649919
23300,16645.6334113465,"10/12/2015",16122.3940287147,7422.47879383751,3625.26015378619,-10524.4995649919
23500,16153.4916516621,"10/19/2015",16081.6321532509,7434.77836810558,3501.26221394073,-10864.1810836351
24200,16042.6040706723,"10/26/2015",16142.7606012493,7443.38807009394,3625.26015378619,-11168.8047544571
24300,15868.4602424555,"11/2/2015",16124.1028611021,7449.41486148574,3735.88339972836,-11440.9408798607
24500,15743.0192751763,"11/9/2015",16138.488160256,7453.63361546006,3834.13955612074,-11683.2420566604
24400,15602.841290992,"11/16/2015",16123.5273158087,7456.58674324208,3921.07882038745,-11898.3515884462
12200,4595.55209124534,"11/23/2015",2870.21492106426,7458.44412345342,3997.75151872568,-9730.85847199803
6250,10806.9277531553,"11/30/2015",9993.24368395364,7459.8158152377,3501.26221394073,-10147.3939599768
3140,1229.20341615519,"12/7/2015",667.619685399514,7460.82314196138,3625.26015378619,-10524.4995649919
1590,1141.3759420858,"12/14/2015",808.114284047847,7461.55934194467,3735.88339972836,-10864.1810836351
812,1094.47290399971,"12/21/2015",967.042941662939,7462.09516067311,3834.13955612074,-11168.8047544571
424,1087.46470609807,"12/28/2015",1144.8430345266,7462.48373104467,3921.07882038745,-11440.9408798607
236,8012.08663700615,"1/4/2016",8234.81254879588,7462.76462614502,3997.75151872568,-11683.2420566604
2360,14162.0622864294,"1/11/2016",14532.2689653159,7462.96711581853,4065.17779374125,-11898.3515884462
1600,12384.5026898108,"1/18/2016",12885.9001171482,7463.11272286141,4124.32710503242,-12088.8372552312
820,1426.61368854827,"1/25/2016",2044.43681842493,7463.21719466498,4176.10541187693,-12257.1457364186
684,12086.6777851612,"2/1/2016",12807.6109839754,7463.29200352635,4221.3481961817,-12405.5733985223
363,1787.95478563501,"2/8/2016",2600.04122978882,7463.3454760635,4260.81779422027,-12536.2497144376
203,3544.96947144883,"2/15/2016",4437.51220845167,7463.38363600424,4295.20380246038,-12651.1301754675
124,7901.21662505732,"2/22/2016",8864.67633845704,7463.41082854188,4325.12558785129,-12751.9961297929
11900,14656.1538058072,"2/29/2016",16137.674430385,7463.43079239935,4351.13615903633,-13296.0875760134
17700,14660.3772304677,"3/7/2016",16139.3131331853,7463.44476709959,4373.72684137297,-13316.1075111901
20700,14664.0802808631,"3/14/2016",16140.8537830245,7463.45454938975,4393.33234827827,-13333.5603998295
10400,3408.41935236649,"3/21/2016",4579.81536656439,7463.46122168142,4410.33595886339,-13045.1931947427
5200,3730.8269881165,"3/28/2016",4939.37998729038,7463.4659520525,4425.07460218488,-13097.0935534113
14600,14659.183138536,"4/4/2016",16150.283763344,7463.46937885679,4437.8437166807,-13392.4137203455
19300,14663.4901294341,"4/11/2016",16151.1677362251,7463.47177761979,4448.90180393838,-13400.0511883492
21700,14667.2433382962,"4/18/2016",16151.9987782188,7463.47345675389,4458.47463269342,-13406.7035293699
10900,5087.30977429411,"4/25/2016",6403.87898472226,7463.47461034528,4466.75907505902,-13246.8028958324
5460,5433.55157945087,"5/2/2016",6769.27740571789,7463.47542529212,4473.92657501912,-13273.1278265783
